ID,Taxon,Rank
410702,Pinus_pseudostrobus_x_Pinus_montezumae,species
536984,Pinus_rigida_x_Pinus_x_rigitaeda,species
1255764,Pinus_brutia_x_Pinus_halepensis,species
1525127,Pinus_rigida_x_Pinus_taeda,species
1690236,Pinus_sibirica_x_Pinus_pumila,species
2107571,Pinus_strobus_x_Pinus_wallichiana,species
293062,Larix_gmelinii_var._olgensis_x_Larix_kaempferi,species
281396,Picea_mariana_x_Picea_rubens,species
273280,Picea_engelmannii_x_Picea_sitchensis,species
373101,Picea_engelmannii_x_Picea_glauca,species
1497110,Picea_glauca_x_P._engelmannii_x_P._sitchensis,species
332955,Juniperus_communis_x_Juniperus_nana,species
761741,Cupressus_austrotibetica_x_Cupressus_cashmeriana,species
187465,Chamaecyparis_obtusa_x_Chamaecyparis_pisifera,species
1238157,Encephalartos_natalensis_x_Encephalartos_woodii,species
466850,Encephalartos_horridus_x_Encephalartos_longifolius,species
1848926,Encephalartos_paucidentatus_x_Encephalartos_heenanii,species
1216051,Macrozamia_lucida_x_Macrozamia_macleayi,species
1216047,Macrozamia_longispina_x_Macrozamia_macleayi,species
702090,Persea_schiedeana_x_Persea_americana_'guatemalensis',species
702089,Persea_americana_var._americana_x_'guatemalensis',no_rank
2078679,Asimina_incana_x_Asimina_pygmaea,species
2078680,Asimina_pygmaea_x_Asimina_incana,species
2078678,Asimina_incana_x_Asimina_angustifolia,species
1010619,Magnolia_alba_x_Magnolia_champaca,species
1010618,Magnolia_baillonii_x_Magnolia_champaca,species
215539,Liriodendron_chinense_x_Liriodendron_tulipifera,species
1095259,Epimedium_franchetii_x_Epimedium_sutchuenense,species
1112795,Berberis_integerrima_x_Berberis_vulgaris,species
1485953,Aquilegia_japonica_x_Aquilegia_oxysepala,species
1886609,Aquilegia_coerulea_x_Aquilegia_chrysantha,species
1506454,Aquilegia_aradanica_x_Aquilegia_sibirica,species
667023,Ranunculus_carpaticola_x_Ranunculus_cassubicifolius,species
2044280,Ranunculus_aquatilis_x_Ranunculus_peltatus,species
1529054,Ranunculus_carpaticola_x_Ranunculus_notabilis,species
1529055,Ranunculus_cassubicifolius_x_Ranunculus_notabilis,species
2044282,Ranunculus_fluitans_x_Ranunculus_circinatus,species
2044283,Ranunculus_fluitans_x_Ranunculus_peltatus,species
2044284,Ranunculus_fluitans_x_Ranunculus_penicillatus,species
2044281,Ranunculus_fluitans_x_Ranunculus_baudotii,species
167996,Anemone_nemorosa_x_Anemone_ranunculoides,species
