Order,Family,Genus,Species_Count
Ginkgoales,Ginkgoaceae,Ginkgo,1
Pinales,Pinaceae,Abies,55
Pinales,Pinaceae,Cathaya,1
Pinales,Pinaceae,Pinus,122
Pinales,Pinaceae,Tsuga,10
Pinales,Pinaceae,Larix,16
Pinales,Pinaceae,Keteleeria,6
Pinales,Pinaceae,Pseudotsuga,8
Pinales,Pinaceae,Picea,39
Pinales,Pinaceae,Pseudolarix,2
Pinales,Pinaceae,Cedrus,4
Pinales,Pinaceae,Nothotsuga,1
Cupressales,Taxaceae,Austrotaxus,1
Cupressales,Taxaceae,Torreya,7
Cupressales,Taxaceae,Taxus,17
Cupressales,Taxaceae,Pseudotaxus,1
Cupressales,Taxaceae,Amentotaxus,4
Cupressales,Taxaceae,Cephalotaxus,10
Cupressales,Cupressaceae,Widdringtonia,4
Cupressales,Cupressaceae,Cuprocyparis,1
Cupressales,Cupressaceae,Tetraclinis,1
Cupressales,Cupressaceae,Fitzroya,1
Cupressales,Cupressaceae,Actinostrobus,3
Cupressales,Cupressaceae,Cunninghamia,3
Cupressales,Cupressaceae,Athrotaxis,3
Cupressales,Cupressaceae,Austrocedrus,1
Cupressales,Cupressaceae,Thuja,1
Cupressales,Cupressaceae,Sequoiadendron,1
Cupressales,Cupressaceae,Taxodium,2
Cupressales,Cupressaceae,Papuacedrus,1
Cupressales,Cupressaceae,Libocedrus,5
Cupressales,Cupressaceae,Metasequoia,1
Cupressales,Cupressaceae,Calocedrus,3
Cupressales,Cupressaceae,Pilgerodendron,1
Cupressales,Cupressaceae,Microbiota,1
Cupressales,Cupressaceae,Callitris,1
Cupressales,Cupressaceae,Callitropsis,3
Cupressales,Cupressaceae,Hesperocyparis,15
Cupressales,Cupressaceae,Thujopsis,1
Cupressales,Cupressaceae,Juniperus,63
Cupressales,Cupressaceae,Callitris,20
Cupressales,Cupressaceae,Cupressus,12
Cupressales,Cupressaceae,Glyptostrobus,1
Cupressales,Cupressaceae,Cryptomeria,1
Cupressales,Cupressaceae,Thuja,5
Cupressales,Cupressaceae,Sequoia,1
Cupressales,Cupressaceae,Chamaecyparis,5
Cupressales,Cupressaceae,Diselma,1
Cupressales,Cupressaceae,Taiwania,2
Cupressales,Sciadopityaceae,Sciadopitys,1
Araucariales,Araucariaceae,Wollemia,1
Araucariales,Araucariaceae,Araucaria,20
Araucariales,Araucariaceae,Agathis,22
Araucariales,Podocarpaceae,Microcachrys,1
Araucariales,Podocarpaceae,Lagarostrobos,1
Araucariales,Podocarpaceae,Phyllocladus,5
Araucariales,Podocarpaceae,Dacrydium,16
Araucariales,Podocarpaceae,Saxegothaea,1
Araucariales,Podocarpaceae,Lagarostrobos,1
Araucariales,Podocarpaceae,Microstrobos,2
Araucariales,Podocarpaceae,Nageia,5
Araucariales,Podocarpaceae,Dacrycarpus,8
Araucariales,Podocarpaceae,Acmopyle,2
Araucariales,Podocarpaceae,Afrocarpus,6
Araucariales,Podocarpaceae,Parasitaxus,1
Araucariales,Podocarpaceae,Lepidothamnus,3
Araucariales,Podocarpaceae,Falcatifolium,4
Araucariales,Podocarpaceae,Podocarpus,95
Araucariales,Podocarpaceae,Microstrobos,1
Araucariales,Podocarpaceae,Prumnopitys,8
Araucariales,Podocarpaceae,Halocarpus,3
Araucariales,Podocarpaceae,Retrophyllum,5
Araucariales,Podocarpaceae,Sundacarpus,1
Cycadales,Cycadaceae,Bowenia,2
Cycadales,Cycadaceae,Cycas,117
Cycadales,Zamiaceae,Microcycas,1
Cycadales,Zamiaceae,Stangeria,1
Cycadales,Zamiaceae,Dioon,15
Cycadales,Zamiaceae,Encephalartos,66
Cycadales,Zamiaceae,Zamia,75
Cycadales,Zamiaceae,Lepidozamia,2
Cycadales,Zamiaceae,Macrozamia,40
