id,accepted_plant_name_id,match_type
3311,334053-wcs,strict match
78264,381990-wcs,strict match
590040,381991-wcs,strict match
3320,381868-wcs,strict match
1535755,381872-wcs,strict match
425842,381810-wcs,strict match
587726,381713-wcs,strict match
745664,382065-wcs,strict match
1045215,381690-wcs,strict match
1137612,381692-wcs,strict match
74306,381681-wcs,strict match
78262,382044-wcs,strict match
425948,381982-wcs,strict match
2316713,465156-wcs,strict match
1333697,382008-wcs,strict match
97175,381974-wcs,strict match
97166,381768-wcs,strict match
78261,381829-wcs,strict match
1045216,381788-wcs,strict match
1108717,382049-wcs,strict match
97176,381902-wcs,strict match
1367511,381854-wcs,strict match
1316783,464445-wcs,strict match
97172,381792-wcs,strict match
425840,381783-wcs,strict match
97171,381905-wcs,strict match
425839,381744-wcs,strict match
1108716,381745-wcs,strict match
97168,381827-wcs,strict match
90345,465129-wcs,strict match
1333696,381653-wcs,strict match
88725,381929-wcs,strict match
97170,381844-wcs,strict match
136445,381844-wcs,strict match
2316712,487922-wcs,strict match
1045220,382019-wcs,strict match
525716,381821-wcs,strict match
78263,381874-wcs,strict match
342582,381842-wcs,strict match
500449,381823-wcs,strict match
1699832,381730-wcs,strict match
2358303,381733-wcs,strict match
97177,381919-wcs,strict match
190817,381924-wcs,strict match
97167,381772-wcs,strict match
745663,381774-wcs,strict match
342581,382014-wcs,strict match
745662,381770-wcs,strict match
2316711,465139-wcs,strict match
2358304,381790-wcs,strict match
78260,381782-wcs,strict match
97173,381713-wcs,strict match
1055014,381734-wcs,strict match
66168,381668-wcs,strict match
425843,381960-wcs,strict match
1131938,381961-wcs,strict match
425836,381689-wcs,strict match
56046,381963-wcs,strict match
928733,381968-wcs,strict match
928731,381968-wcs,strict match
1045218,381978-wcs,strict match
123605,381658-wcs,strict match
425844,382068-wcs,strict match
425838,381736-wcs,strict match
338078,381699-wcs,strict match
64686,382677-wcs,strict match
71653,380062-wcs,strict match
216377,379726-wcs,strict match
109267,380137-wcs,strict match
46836,380268-wcs,strict match
71650,380045-wcs,strict match
55062,380358-wcs,strict match
1109440,469694-wcs,strict match
55065,381144-wcs,strict match
55064,469694-wcs,strict match
49510,380437-wcs,strict match
537018,381148-wcs,strict match
164244,379920-wcs,strict match
55058,380503-wcs,strict match
261912,386117-wcs,strict match
1281736,469586-wcs,strict match
368921,379966-wcs,strict match
661420,528138-wcs,strict match
164241,380272-wcs,strict match
71634,379881-wcs,strict match
261916,379881-wcs,strict match
71633,379872-wcs,strict match
88729,379897-wcs,strict match
993099,379897-wcs,strict match
71630,379810-wcs,strict match
164239,379797-wcs,strict match
1281741,528138-wcs,strict match
1109444,381161-wcs,strict match
1184611,528138-wcs,strict match
368922,380278-wcs,strict match
88726,380529-wcs,strict match
469443,380450-wcs,strict match
1193841,380499-wcs,strict match
71645,380338-wcs,strict match
469974,381137-wcs,strict match
1281740,469681-wcs,strict match
71654,380091-wcs,strict match
3339,379843-wcs,strict match
476179,379843-wcs,strict match
1281737,379606-wcs,strict match
1115831,379605-wcs,strict match
42064,379943-wcs,strict match
1281738,379594-wcs,strict match
182814,469638-wcs,strict match
88731,380115-wcs,strict match
1616481,386506-wcs,strict match
510833,379919-wcs,strict match
706491,469710-wcs,strict match
268870,380059-wcs,strict match
638956,469712-wcs,strict match
638955,380061-wcs,strict match
71652,380132-wcs,strict match
268871,379832-wcs,strict match
261911,379871-wcs,strict match
261914,380147-wcs,strict match
70929,380440-wcs,strict match
164236,381048-wcs,strict match
164238,381047-wcs,strict match
164237,469595-wcs,strict match
3350,380139-wcs,strict match
3351,379852-wcs,strict match
1281744,459126-wcs,strict match
1616480,379792-wcs,strict match
1074822,386454-wcs,strict match
993101,469701-wcs,strict match
993098,386388-wcs,strict match
71636,379672-wcs,strict match
1504333,386167-wcs,strict match
1044907,379690-wcs,strict match
29805,379727-wcs,strict match
3353,380544-wcs,strict match
28528,380254-wcs,strict match
689842,469713-wcs,strict match
38864,380047-wcs,strict match
55063,469694-wcs,strict match
188934,379991-wcs,strict match
71638,379770-wcs,strict match
638954,379611-wcs,strict match
3347,380297-wcs,strict match
1281743,469697-wcs,strict match
1281742,386435-wcs,strict match
1281739,469678-wcs,strict match
71639,379749-wcs,strict match
2152832,469677-wcs,strict match
714485,469677-wcs,strict match
268869,380011-wcs,strict match
1094612,386365-wcs,strict match
658419,386334-wcs,strict match
993103,469679-wcs,strict match
993100,386333-wcs,strict match
469442,379722-wcs,strict match
71624,381057-wcs,strict match
88727,379911-wcs,strict match
55061,379708-wcs,strict match
268873,379889-wcs,strict match
190402,379782-wcs,strict match
71641,380400-wcs,strict match
164243,380206-wcs,strict match
469973,379754-wcs,strict match
313147,379946-wcs,strict match
268874,380280-wcs,strict match
1120153,379754-wcs,strict match
88732,380073-wcs,strict match
1504335,469715-wcs,strict match
1504334,380081-wcs,strict match
77912,379792-wcs,strict match
1044906,379792-wcs,strict match
1043706,386465-wcs,strict match
1109439,464110-wcs,strict match
3346,380351-wcs,strict match
3340,379820-wcs,strict match
1286808,380231-wcs,strict match
71632,379964-wcs,strict match
71626,380453-wcs,strict match
71649,380284-wcs,strict match
3341,380092-wcs,strict match
399189,380012-wcs,strict match
151564,380276-wcs,strict match
71643,380250-wcs,strict match
71625,380490-wcs,strict match
403906,380055-wcs,strict match
71628,381185-wcs,strict match
3344,379762-wcs,strict match
71646,380345-wcs,strict match
3345,380255-wcs,strict match
268868,380541-wcs,strict match
548568,380506-wcs,strict match
3342,379697-wcs,strict match
3343,379703-wcs,strict match
3338,380514-wcs,strict match
62752,380017-wcs,strict match
71635,381046-wcs,strict match
71637,379932-wcs,strict match
196513,380013-wcs,strict match
71629,379798-wcs,strict match
151562,380231-wcs,strict match
71640,380229-wcs,strict match
644370,528138-wcs,strict match
151565,380317-wcs,strict match
88728,379695-wcs,strict match
151558,381046-wcs,strict match
151559,379971-wcs,strict match
252739,379932-wcs,strict match
399188,379803-wcs,strict match
71623,380723-wcs,strict match
151560,380276-wcs,strict match
71644,380339-wcs,strict match
399239,469680-wcs,strict match
399187,386385-wcs,strict match
71648,380368-wcs,strict match
1109441,380699-wcs,strict match
252738,380097-wcs,strict match
139307,380257-wcs,strict match
71622,380705-wcs,strict match
71651,380002-wcs,strict match
198573,380462-wcs,strict match
198572,380460-wcs,strict match
66173,379363-wcs,strict match
85622,379392-wcs,strict match
93696,379433-wcs,strict match
3359,379395-wcs,strict match
93694,379402-wcs,strict match
1093624,379385-wcs,strict match
1093623,469764-wcs,strict match
126280,379389-wcs,strict match
224733,379383-wcs,strict match
126281,379409-wcs,strict match
445235,379425-wcs,strict match
1986463,531808-wcs,strict match
49226,379109-wcs,strict match
62751,379148-wcs,strict match
71403,379116-wcs,strict match
193047,379132-wcs,strict match
54800,379135-wcs,strict match
189812,379148-wcs,strict match
167559,385977-wcs,strict match
